Familia,Valor,Th_C,Lstrike_km,h_km,L_int_km,Lmax_km,Npatches,Tmean_above_C,Ares_km2,Vres_km3,Vres_m3,Pe_W,Pe_MW,"Pe_R (conservador,0.02)","Pe_R (realista,0.05)",Promedio,PeA_MW_km2
Profundidad,14,150,10,1,30,30,1,181.7730311,300,300,300000000000,2011864541,2011.864541,40.23729082,100.593227,70.41525893,6.706215136
Profundidad,14,150,15,1,30,30,1,181.7730311,450,450,450000000000,3017796811,3017.796811,60.35593622,150.8898406,105.6228884,6.706215136
Profundidad,14,150,20,1,30,30,1,181.7730311,600,600,600000000000,4023729082,4023.729082,80.47458163,201.1864541,140.8305179,6.706215136
Profundidad,14,150,10,0.5,30,30,1,181.7730311,300,150,150000000000,1005932270,1005.93227,20.11864541,50.29661352,35.20762946,3.353107568
Profundidad,14,150,15,0.5,30,30,1,181.7730311,450,225,225000000000,1508898406,1508.898406,30.17796811,75.44492028,52.81144419,3.353107568
Profundidad,14,150,20,0.5,30,30,1,181.7730311,600,300,300000000000,2011864541,2011.864541,40.23729082,100.593227,70.41525893,3.353107568
Profundidad,10,180,10,1,30,30,1,183.2186473,300,300,300000000000,2058128584,2058.128584,41.16257169,102.9064292,72.03450045,6.860428614
Profundidad,10,180,15,1,30,30,1,183.2186473,450,450,450000000000,3087192876,3087.192876,61.74385753,154.3596438,108.0517507,6.860428614
Profundidad,10,180,20,1,30,30,1,183.2186473,600,600,600000000000,4116257169,4116.257169,82.32514337,205.8128584,144.0690009,6.860428614
Profundidad,10,180,10,0.5,30,30,1,183.2186473,300,150,150000000000,1029064292,1029.064292,20.58128584,51.45321461,36.01725023,3.430214307
Profundidad,10,180,15,0.5,30,30,1,183.2186473,450,225,225000000000,1543596438,1543.596438,30.87192876,77.17982191,54.02587534,3.430214307
Profundidad,10,180,20,0.5,30,30,1,183.2186473,600,300,300000000000,2058128584,2058.128584,41.16257169,102.9064292,72.03450045,3.430214307
Profundidad,12,150,10,1,30,30,1,182.2311206,300,300,300000000000,2026471154,2026.471154,40.52942308,101.3235577,70.92649039,6.754903846
Profundidad,12,150,15,1,30,30,1,182.2311206,450,450,450000000000,3039706731,3039.706731,60.79413462,151.9853365,106.3897356,6.754903846
Profundidad,12,150,20,1,30,30,1,182.2311206,600,600,600000000000,4052942308,4052.942308,81.05884616,202.6471154,141.8529808,6.754903846
